EVTNAME19000108;Peking Convention;;;;x
EVTDESC19000108;Russia is getting the slop in China without us!;;;;;x
EVTOPTA19000108;We gotta get some too!;;;;;x
EVTNAME19000114;Legion;;;;;x
EVTDESC19000114;Thug on em!;;;;x
EVTOPTA19000114;Shoulda seen the look on that pricks face!;;;;;x
EVTNAME19000117;Czar Alexander II Assassinated!;;;;;x
EVTDESC19000117;After multiple attempts on his life, the Czar was finally killed by a bomb thrower in the streets of St. Petersburg, the fate of all Russians lie in the hands of Alexander III.;;;;;x
EVTOPTA19000117;Perhaps liberalization was a mistake. . .;;;;x
EVTNAME19000118;Czar Alexander II Takes Charge;;;;x
EVTDESC19000118;This guy likes liberal reforms, but also likes his power. He likes his serfs free;;;;;x
EVTOPTA19000118;Yes Chef;;;;;x
alexanderii;Alexander II;;;;;x
alexanderii_desc;Let him cook;;;;;x
